10,硼,B,0.0,3+, 12.0506,STABLE,19.9% 7 ,-3648.06 7,-556.88 8,-1578.88 8,8437.2 9,-21002 13,-20193.26 19,-24931.7 21,-39156 18,6475.0830 20,-52.6877 20,1508.5 5,6586.81 8,718.380 11,,,-3575.460 7,-4461.190 10,23473.14 5,-2.67E+4 4,27013.6 10
9,铍,Be,0.0,3/2-, 11.3484,STABLE,100.%,-1068.0 9,-13606.45 20,-14628.45 20,1664.54 8,-2.959E+4 5,-20193.26 19,-19644.4 10,-3.247E+4 3,6462.668 9,-9.196 9,2573.88 7,16886.32 9,1684 20,,,-4170 10,-2308 20,29303 8,-17562.5 21,20563.18 10
8,锂,Li,0.0,2+, 20.9458,839.9 ms 9 , β-α : 100.00 %  β- : 100.00 % ,16004.13 6,-10663.88 10,-11685.88 10,2032.62 5,,-20193.26 19,-2894.51 9,-13572 5,5159.712 6,-537.409 6,1014.80 10,12416 8,980.80 10,,,-1.95E+3 5,-6.10E+3 10,3.55E+4 3,-1975.8 10,9283.71 5
7,氦,He,0.0,(3/2)-, 26.0731,150 keV 20 , n   ,11166 8,-2.31E+4 10,-2.41E+4 10,-410 8,,,3915 8,-1.75E+3 5,4123.1 11,-1980.7 11,1472 5,2.31E+4 3,2.92E3 9,,,,,,10304 8,1301 21
6,氢,H,0.0,(2-), 41.8757,1.6 MeV 4 , n : 100.00 % ,2.43E+4 3,,,-9.E+2 3,,,2.26E+4 3,2.33E+4 3,9.6E+2 4,,9.E+2 5,,,,,,,,2.78E+4 3,-1.1E+3 3
16,氖,Ne,0.0,0+, 23.9867,9×10-21 s, 2p : 100.00 % ,,13307 22,12285 22,2.430E+4 7,28724 20,13842 20,,,6083.2 13,-310.4 13,4.37E+3 4,-131 25,1690 70,1690 70,,709 19,-1.035E+4 3,-1401 20,,
15,氟,F,0.0,1/2+, 16.5667,660 keV 2 , p : 100.00 % ,-2.365E+4 7,13711 14,12689 14,2.347E+4 4,16465 14,13842 20,,,6497.5 9,-335.9 9,4756 23,-1270 14,1.52E3 5,,,2.05E+3 3,-1.016E+4 5,3357 14,,
14,氧,O,0.0,0+, 8.0077,70.620 s 15 , ε : 100.00 % ,-2.396E+4 4,5144.36 3,4122.37 3,23179 10,4987.89 3,-2406.20 3,,,7052.2778 20,-156.7145 20,4978 5,4626.7 3,5173 10,6590 10,6272 10,2500.36 18,-10115.81 7,6570.16 3,,40049 24
13,氮,N,0.0,1/2-, 5.3454,9.965 m 4 , ε : 100.00 % ,-17770 10,2220.5 3,1198.5 3,20063.9 10,-11216.5 10,-2406.20 3,-34640 24,,7238.863 21,-210.947 21,4755.3 5,1943.5 3,2364.9 6,,,1838.6 5,-9495.9 9,17900.2 3,,3.510E+4 5
12,碳,C,0.0,0+, 0.0000,STABLE,98.93% 8 ,-17338.1 10,-13369.4 13,-14391.4 13,18720.71 6,-25077.8 19,-27466.14 24,-3.237E+4 5,-5.49E+4 4,7680.144,-210.98,6887.20 3,15956.680 10,4438.91 31,4438.91 31,9641 5,102.335 20,-7366.59 4,27185.43 8,-31915 24,31841.31 7
11,硼,B,0.0,3/2-, 8.6677,STABLE,80.1% 7 ,-1981.69 6,-11509.46 24,-12531.46 24,11454.220 20,-32060.6 6,-31674 13,-15102.28 7,-36385.9 21,6927.7319 10,37.7857 10,4042.3 7,11228.75 8,2124.693 27,,,-1163.435 7,-8664.310 10,30865.14 19,-1.564E+4 5,19891.4 9
10,铍,Be,0.0,0+, 12.6074,1.51×10+6 y 4 , β- : 100.00 % ,556.88 8,-20445 13,-21467 13,6812.28 5,-3.659E+4 9,-3.562E+4 5,-7880.3 9,-26456.7 10,6497.630 8,65.386 8,3155.32 14,19636.39 20,3368.03 3,3368.03 3,7371 1,-2301.49 6,-7409.52 10,33580.13 12,-3091.18 11,8476.82 9
9,锂,Li,0.0,3/2-, 24.9549,178.3 ms 4 , β- : 100.00 % ,13606.45 20,-1.598E+4 5,-1.700E+4 5,4062.22 19,,,11941.91 19,-6956.73 20,5037.768 21,-614.656 21,2044 6,13943.75 21,2691 5,,,-2.3E+2 4,-1.036E+4 9,3.88E+4 10,12538.4 9,6094.84 19
8,氦,He,0.000,0+, 31.6096,119.1 ms 12 , β- : 100. %  β-n : 16. % ,10663.88 10,,,2535 8,,,8631.26 9,1380.17 9,3924.520 11,-2355.999 11,1895 24,2.48E+4 10,,3.1E+3 5,7.16E+3 4,,,,26668.01 10,2125.05 10
7,氢,H, ,(1/2+), 49.1350,500 ys, 2N?   ,2.31E+4 10,,,0 AP,,,2.35E+4 10,2.18E+4 10,9.4E+2 14,,,,,,,,,,3.42E+4 10,0 AP
19,镁,Mg, ,1/2-, 31.8283,4.0 ps 15 , 2p : 100.00 % ,,1.890E+4 5,1.788E+4 5,,3.008E+4 5,1.922E+4 5,,,5902 3,-352 3,,5.0E+2 11,1.38E3 24,,,0 AP,-1.081E+4 8,-7.5E+2 5,,
18,钠,Na,0.0,1-, 25.0379,1.3×10-21 s 4 , p : 100.00 % ,,1.972E+4 9,1.870E+4 9,1.82E+4 10,2.416E+4 9,1.580E+4 9,,,6202 5,-273 5,1.0E+3 5,-1.25E+3 9,0.30E3 11,,,0 AP,-9.35E+3 10,2.2E+2 9,,
17,氖,Ne,0.0,1/2-, 16.5004,109.2 ms 6 , ε : 100.00 %  εp : 100.00 %  εα   ,-1.87E+4 10,14548.7 4,13526.7 4,15558 20,17309.2 3,13948.5 3,,,6640.499 21,-57.207 21,1848 10,1469 8,,,,509 5,-9040 10,933.1 6,,3.986E+4 7
16,氟,F,0.0,0-, 10.6802,40 keV 20 , p : 100.00 % ,-13307 22,15417 8,14395 8,13958 16,4996 9,3290 8,-3.761E+4 7,,6963.7 5,-150.5 5,1421 9,-536 8,,,,1414 6,-9083 8,6761 8,,3.743E+4 4
